Date,Team,Price
2024-01-01,Development,162.45
2024-01-01,Production,478.32
2024-01-01,Testing,189.67
2024-01-02,Development,148.92
2024-01-02,Production,445.18
2024-01-02,Testing,205.34
2024-01-03,Development,157.23
2024-01-03,Production,492.76
2024-01-03,Testing,198.45
2024-01-04,Development,143.67
2024-01-04,Production,463.21
2024-01-04,Testing,187.89
2024-01-05,Development,168.34
2024-01-05,Production,428.95
2024-01-05,Testing,212.43
2024-01-06,Development,155.78
2024-01-06,Production,471.63
2024-01-06,Testing,195.67
2024-01-07,Development,159.23
2024-01-07,Production,486.92
2024-01-07,Testing,204.32
2024-01-08,Development,151.89
2024-01-08,Production,452.34
2024-01-08,Testing,193.21
2024-01-09,Development,164.56
2024-01-09,Production,467.89
2024-01-09,Testing,208.76
2024-01-10,Development,146.78
2024-01-10,Production,439.67
2024-01-10,Testing,196.54
2024-01-11,Development,172.34
2024-01-11,Production,495.23
2024-01-11,Testing,185.67
2024-01-12,Development,153.45
2024-01-12,Production,458.91
2024-01-12,Testing,201.43
2024-01-13,Development,158.67
2024-01-13,Production,473.45
2024-01-13,Testing,194.32
2024-01-14,Development,147.89
2024-01-14,Production,446.78
2024-01-14,Testing,207.65
2024-01-15,Development,165.23
2024-01-15,Production,482.34
2024-01-15,Testing,199.87
2024-01-16,Development,149.56
2024-01-16,Production,464.56
2024-01-16,Testing,191.23
2024-01-17,Development,169.78
2024-01-17,Production,436.89
2024-01-17,Testing,210.54
2024-01-18,Development,154.32
2024-01-18,Production,488.67
2024-01-18,Testing,197.89
2024-01-19,Development,160.45
2024-01-19,Production,455.23
2024-01-19,Testing,203.45
2024-01-20,Development,150.67
2024-01-20,Production,469.78
2024-01-20,Testing,192.67
2024-01-21,Development,166.89
2024-01-21,Production,443.21
2024-01-21,Testing,206.78
2024-01-22,Development,145.23
2024-01-22,Production,491.45
2024-01-22,Testing,195.43
2024-01-23,Development,171.56
2024-01-23,Production,461.89
2024-01-23,Testing,188.90
2024-01-24,Development,152.78
2024-01-24,Production,476.34
2024-01-24,Testing,209.65
2024-01-25,Development,161.90
2024-01-25,Production,449.67
2024-01-25,Testing,198.32
2024-01-26,Development,148.45
2024-01-26,Production,484.23
2024-01-26,Testing,193.76
2024-01-27,Development,167.23
2024-01-27,Production,458.90
2024-01-27,Testing,205.89
2024-01-28,Development,156.67
2024-01-28,Production,472.45
2024-01-28,Testing,190.43
2024-01-29,Development,163.89
2024-01-29,Production,440.78
2024-01-29,Testing,211.23
2024-01-30,Development,151.23
2024-01-30,Production,487.56
2024-01-30,Testing,196.78